,분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류,위도(X좌표),경도(Y좌표),유무료,문화포털상세URL
299,영화,중구,[중구문화재단] 중구영화극장 10월 지구?환경 특집 프로그램,2023-10-05~2023-10-26,충무아트센터 소극장 블루 (B1),중구문화재단,누구나,,,,,https://www.caci.or.kr/caci/performance/view.do?menuNo=200006&pblprfrId=1496,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3cd37414ad1248eaa0ffff93c3d1b6a6&thumb=Y,2023-09-27,기관,00:00.0,00:00.0,,37.56594097,127.0147909,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143517&menuNo=200013
300,전시/미술,은평구,[구립증산정보도서관] 테마전시체험전2 아빠를 빌려줘,2023-10-05~2023-10-23,1층 로비 및 가족열람실,은평구청,누구나,,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1800&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3bf028d2f7fb492793f25cda32c0d2f3&thumb=Y,2023-09-24,기관,00:00.0,00:00.0,기타,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143487&menuNo=200009
301,전시/미술,광진구,이경자 기획 초대전,2023-10-05~2023-10-22,세종대학교 대양 AI센터 지하2층,광진구청,전체,,,,,https://blog.naver.com/sejonggallery,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=aa819dd1c5d045e7800621c0f73114f8&thumb=Y,2023-10-13,기관,00:00.0,00:00.0,기타,37.55079808,127.0745756,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143679&menuNo=200009
311,전시/미술,마포구,[마포구립서강도서관 10-12월/전시] 우리 글책 140선 ? 우리 그림책 100선,2023-10-04~2023-12-31,마포구립서강도서관 4층 어린이자료실,마포구청,누구나,없음,,,,https://mplib.mapo.go.kr/sglib/PGM3028/eventDetail.do?eventSn=7567,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1e33c59d6a03445a94027e20bfe80727&thumb=Y,2023-09-25,기관,00:00.0,00:00.0,기타,37.5477397,126.9320894,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143502&menuNo=200009
312,교육/체험,구로구,[서울생활문화센터 신도림] 2023 구로문화예술아카데미,2023-10-04~2023-12-06,구로아트밸리 소강당,서울생활문화센터-신도림,관심 있는 시민 누구나,"10,000원 계좌번호 신한은행 140-014-051780 재단법인 구로문화재단",,,,https://www.artgori.or.kr:40019/load.asp?sub_p=board/board&b_code=6&page=1&f_cate=&idx=2758&board_md=view,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9b7384c5c5f447dbb2020d255d876e53&thumb=Y,2023-09-15,기관,00:00.0,00:00.0,,37.49655847,126.8889639,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143356&menuNo=200011
313,교육/체험,중랑구,[중랑문화재단] 옹기테마체험관 10월 프로그램,2023-10-04~2023-10-31,"옹기테마체험관 옹기체험장, 공예체험장, 한지체험장",중랑문화재단,누구나,프로그램별 상이,,,,https://jnfac.or.kr/exhibition/program_list.html?gubun=4,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fb2eea20e4d544f289e15c2e698175eb&thumb=Y,2023-09-15,기관,00:00.0,00:00.0,기타,37.61265372,127.0885194,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143337&menuNo=200011
314,교육/체험,은평구,[구립증산정보도서관] 10월 어린이 독서퀴즈,2023-10-04~2023-10-29,3층 어린이열람실,은평구청,초등학생 (은평구공공도서관 정회원),,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1802&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9c32fac061f24e67b24fa3c3a375da56&thumb=Y,2023-09-26,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143515&menuNo=200011
315,교육/체험,종로구,[서울공예박물관] Open Studio : 조물조물 캔들,2023-10-04~2023-10-18,서울공예박물관 전시3동 1층 오픈스튜디오,서울공예박물관,모든 시민,무료,,색색의 양초 점토를 활용하여 나만의 특별한 양초를 만드는 자율 공예창작 프로그램,,https://craftmuseum.seoul.go.kr/progrm/view/209,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=39a389d5307f4e40b3e99438ffe6768b&thumb=Y,2023-09-22,기관,00:00.0,00:00.0,기타,37.57664817,126.9835334,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143452&menuNo=200011
316,교육/체험,은평구,[구립증산정보도서관] 청소년기 부모 교실 [사춘기 자녀의 이해],2023-10-04~2023-10-18,지하문화강좌실,은평구청,사춘기 자녀를 둔 부모 20명,,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1796&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=eebb442ab2c944a6a47bf8960823c2e8&thumb=Y,2023-09-19,기관,00:00.0,00:00.0,기타,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143397&menuNo=200011
321,전시/미술,종로구,"[돈의문박물관마을] Odd space, Common place",2023-10-03~2023-12-31,돈의문박물관마을 마을 마당,돈의문박물관마을,시민 누구나,무료,,국립아시아문화전당과의 공동 협력 전시로 낯설기도 하고 익숙하기도 한 장소와 공간에 대한 슬릿스코프와 이수진 작가의 미디어아트 전시,,https://dmvillage.info/296,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=65bb9f900eb041e081d2b31fa6096996&thumb=Y,2023-09-23,기관,00:00.0,00:00.0,기타,37.56882395,126.9685231,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143471&menuNo=200009
322,전시/미술,종로구,[돈의문박물관마을] 2023년 시민갤러리 이별 박물관 展,2023-10-03~2023-12-31,"돈의문박물관마을 시민갤러리 1, 2",돈의문박물관마을,시민 누구나,무료,,메타버스와 현실에 전시된 이별 물품의 사연을 통해 서로를 위로하고 상실의 감정을 나눠 이별을 넘어 새로운 시작을 맞이하는 뉴미디어 콘텐츠 결합 전시,,https://dmvillage.info/news/?idx=16412793&bmode=view,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cca35d34b55b40b69eaa065b1041328b&thumb=Y,2023-09-23,기관,00:00.0,00:00.0,기타,37.56882395,126.9685231,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143474&menuNo=200009
323,콘서트,종로구,문화가 흐르는 예술마당 10월 공연,2023-10-03~2023-10-25,"광화문광장 놀이마당, 노들섬 잔디마당",노들섬,시민 누구나,,,,,https://cultureseoul.co.kr/2023/?p=0201&local=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3395a49f308546b8912bee38157e8e89&thumb=Y,2023-10-10,기관,00:00.0,00:00.0,기타,37.57184786,126.9761683,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143633&menuNo=200008
327,기타,중구,[서울애니메이션센터] 도심 속 문화체험공간!  만화도서관& 애니소풍,2023-10-01~2023-10-31,"서울애니메이션센터 1, 2층",서울애니메이션센터,어린이/청소년/성인,"무료(만화의집)/ 유료(애니소풍) 성인 4,000원 어린이 6,000원",,,,https://www.ani.seoul.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=526d2a5dae8643a8afdf97e72804f177&thumb=Y,2023-10-01,기관,00:00.0,00:00.0,기타,37.55990981,126.9833342,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143547&menuNo=200013
328,교육/체험,마포구,"[마포구립서강도서관 10월/어린이메이킹] 해봄아 노올자!, 해봄맘껏Time",2023-10-01~2023-10-31,마포구립서강도서관 4층 어린이자료실 내 해봄,마포구청,초등학생,없음,,,,https://mplib.mapo.go.kr/sglib/MENU1199/PGM3028/eventDetail.do?currentPageNo=1&eventSn=7527,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=68bd67f5d506482c8861a925ab25c852&thumb=Y,2023-09-16,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.5477397,126.9320894,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143359&menuNo=200011
329,전시/미술,은평구,"[구립증산정보도서관] 2023년 시가 자라는 나무 10월 : 10월, 생(生)을 만나다",2023-10-01~2023-10-31,2층 종합자료실,은평구청,도서관 이용자 누구나,,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1806&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=dd14680cbf9445a9b41302863bfd9b3b&thumb=Y,2023-10-11,기관,00:00.0,00:00.0,기타,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143648&menuNo=200009
330,교육/체험,,[한국저작권위원회] 23년 10월 무료 온라인 저작권 교육 안내,2023-10-01~2023-10-31,온라인(저작권 e-배움터 홈페이지),기타,전국민 누구나(연령제한 없음),,,,,https://edu-copyright.or.kr/user/main/main.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3c429d12795349088c5b96f074772658&thumb=Y,2023-10-04,기관,00:00.0,00:00.0,기타,37.5520064,126.9801413,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143566&menuNo=200011
331,전시/미술,은평구,[구립증산정보도서관] 북인사이트 2023년 10월 : 10월의 작가들,2023-10-01~2023-10-31,2층 종합자료실 앞,은평구청,도서관 이용자 누구나,,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1805&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0adb7a8f500841b3978d5ba7eb152062&thumb=Y,2023-10-11,기관,00:00.0,00:00.0,기타,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143647&menuNo=200009
332,영화,중구,청춘극장 제9회 청춘스타영화제,2023-10-01~2023-10-31,청춘극장(문화일보홀),서울시청,55세 이상 및 동반가족 ,"2,000원",,,,http://cafe.naver.com/seoulsilvercinema,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a98676fe0f0c41e98417d9bd63805456&thumb=Y,2023-09-22,기관,00:00.0,00:00.0,어르신 문화행사,37.56712921,126.9686448,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143470&menuNo=200013
333,전시/미술,구로구,[구로구립글마루한옥어린이도서관] 10월 문화가 있는 날 세시풍속도서 전시,2023-10-01~2023-10-30,구로구립 글마루한옥어린이도서관,구로문화원,누구나,,,,,https://lib.guro.go.kr/#/libprg/culture-lecture/detail/3322,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4605eea6a5624f4e8854a69d26fc79a1&thumb=Y,2023-09-25,기관,00:00.0,00:00.0,문화가 있는 날,37.5069156,126.845637,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143509&menuNo=200009
334,교육/체험,광진구,[서울상상나라] 사과 속에 사과 쿠키,2023-10-01~2023-10-29,지하 1층 요리놀이실,서울상상나라,5세 이상 어린이,"12,000원(입장료 4,000원 별도)",,,,https://www.seoulchildrensmuseum.org/education/educationList.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e6481c3af1c34168ac7a13487b72ddee&thumb=Y,2023-09-24,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.55055,127.077569,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143481&menuNo=200011
335,교육/체험,광진구,[서울상상나라] 데굴데굴 호박 경단,2023-10-01~2023-10-29,지하 1층 요리놀이실,서울상상나라,4세 이상 어린이와 보호자,"14,000원(입장료 4,000원 별도)",,,,https://www.seoulchildrensmuseum.org/education/educationList.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=264ec34cc77a4866a3a0075e27fb2a7f&thumb=Y,2023-09-24,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.55055,127.077569,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143478&menuNo=200011
336,교육/체험,광진구,[서울상상나라] 알록달록 빛 예술가,2023-10-01~2023-10-29,지하 1층 빛의 방,서울상상나라,6세 이상 어린이,"8,000원(입장료 4,000원 별도)",,,,https://www.seoulchildrensmuseum.org/education/educationList.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1190f73575044a738e4b175d9801c278&thumb=Y,2023-09-24,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.55055,127.077569,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143479&menuNo=200011
337,교육/체험,광진구,[서울상상나라] 숲 속 숨바꼭질,2023-10-01~2023-10-29,지하 1층 빛의 방,서울상상나라,7세 이상 어린이,"8,000원(입장료 4,000원 별도)",,,,https://www.seoulchildrensmuseum.org/education/educationList.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=025e74f2ebcb487f85fb31b8f6e54e64&thumb=Y,2023-09-24,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.55055,127.077569,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143480&menuNo=200011
348,전시/미술,중구,[DDP] 서울디자인어워드 2023 수상작 전시,2023-09-28~2023-10-23,동대문디자인플라자(DDP) 디자인랩 1층 D-숲,동대문디자인플라자,시민 누구나,,,,,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=494&boardno=15&bbstopno=494&act=view&subno=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4f57ccc0691f4f5ab22110fd5a32888c&thumb=Y,2023-10-05,기관,00:00.0,00:00.0,기타,37.56681313,127.0096257,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143602&menuNo=200009
356,전시/미술,용산구,"한국컴패션 20주년 기념 특별 사진전 COMPASSION MOMENT 지금, 우리가 사랑할 시간",2023-09-26~2023-10-29,용산 전쟁기념관 기획전시실,기타,누구나,,,"1. 토크콘서트 10월 5일(목) 11:00 차인표 후원자, 허호 작가, 이정민 아나운서   2. 전시 도슨트 10월 7일(토), 14일(토), 21일(토) 14:00, 16:00 오석진 교수",,https://www.compassion.or.kr/participation/event/view?eventNumber=210,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1cf21e9a58ff4ee3bd7009e8e17c0459&thumb=Y,2023-09-22,시민,00:00.0,00:00.0,기타,37.53731405,126.9784661,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143467&menuNo=200009
357,연극,성동구,2023 제9회서울시민연극제,2023-09-26~2023-10-22,성수아트홀,성동문화재단,누구나,,,,,https://stheater.or.kr/224,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ca8d3d810ea94182a358b0efb8404d5f&thumb=Y,2023-09-18,시민,00:00.0,00:00.0,기타,37.54541449,127.0469742,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143371&menuNo=200008
370,전시/미술,중구,2023 DDP 디자인 융합 전시 [We'd rather be alive than dead],2023-09-25~2023-12-31,동대문디자인플라자(DDP) 잔디언덕,동대문디자인플라자,누구나,,,,,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=492&boardno=15&bbstopno=492&act=view&subno=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=441eee3437c44312bb42c407aa79c4be&thumb=Y,2023-09-27,기관,00:00.0,00:00.0,기타,37.56681313,127.0096257,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143529&menuNo=200009
371,전시/미술,중구,[서울디자인재단] We'd rather be alive than dead:삶은 그 어떤 경우에도 죽음보다 아름답다,2023-09-25~2023-12-31,DDP 잔디언덕,서울디자인재단,누구나,,,,,https://ddp.or.kr/index.html?menuno=240&siteno=2&bbsno=492&boardno=15&bbstopno=492&act=view&subno=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=32c33697fed74c67b1edca7afabe37be&thumb=Y,2023-10-13,기관,00:00.0,00:00.0,기타,37.56681313,127.0096257,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143683&menuNo=200009
372,교육/체험,송파구,[서울책보고] 2023 서울책보고 금요북클럽(10월),2023-09-25~2023-10-27,서울책보고,서울책보고,관심있는 누구나,,,,,https://seoulbookbogo.kr/front/index.php?g_page=event&m_page=event01&act=View&D_IDX=3963&ViewType=List,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4316219b492048f496bdfcb650f88c45&thumb=Y,2023-09-27,기관,00:00.0,00:00.0,기타,37.5223926,127.102983,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143523&menuNo=200011
379,기타,마포구,"[9월/팟캐스트] 서강도서관 피셜 38회 다시, 어떻게 읽을 것인가",2023-09-23~2023-10-31,온라인(팟빵),마포구청,누구나,없음,,,,https://mplib.mapo.go.kr/sglib/MENU1199/PGM3028/eventDetail.do?currentPageNo=1&eventSn=7549,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bdde3ab58fc44859af0d9ae3fbad9734&thumb=Y,2023-09-23,기관,00:00.0,00:00.0,기타,37.5477397,126.9320894,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143477&menuNo=200013
380,교육/체험,마포구,[마포구립서강도서관 독서동아리] 2023년 월요야독 신규회원 모집,2023-09-23~2023-10-31,마포구립서강도서관 3층 BookC,마포구청,성인,없음,,,,https://mplib.mapo.go.kr/sglib/MENU1199/PGM3028/eventDetail.do?currentPageNo=1&eventSn=7548,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=77c1bf25469c40a081dba3a541bbf9d1&thumb=Y,2023-09-23,기관,00:00.0,00:00.0,기타,37.5477397,126.9320894,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143476&menuNo=200011
381,축제-문화/예술,동대문구,[서울문화재단] 2023 서울생활예술주간,2023-09-23~2023-10-22,서울문화재단,서울문화재단,자치구 프로그램 별 대상자 상이함,프로그램별 상이,,,,https://www.sfac.or.kr/participation/sfac_program.do?eduGubunSel=&pageIndex=&eduMstSeq=33117&eduScheSeq=&mode=VIEW&mstStatus=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=65114a06f57d45b29d61c7935ed66c2f&thumb=Y,2023-09-19,기관,00:00.0,00:00.0,,37.571509,127.0337136,유료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143390&menuNo=200010
401,전시/미술,중구,Design Dream Land: Fall in K-POP 디자인 드림 랜드,2023-09-22~2024-04-30,DDP 디자인랩 3층,동대문디자인플라자,누구나,,,,,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=493&boardno=15&bbstopno=493&act=view&subno=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=63048eecc8b74157bf2e8aeb2fb79152&thumb=Y,2023-09-22,기관,00:00.0,00:00.0,기타,37.56681313,127.0096257,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143461&menuNo=200009
402,전시/미술,송파구,한성백제박물관 2023년 백제문화특별전 [강철백제],2023-09-22~2023-12-17,한성백제박물관 기획전시실,한성백제박물관,누구나,무료,,,,https://baekjemuseum.seoul.go.kr/module/index.jsp?mpid=SBM0203000000,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2b0c75a79f37494db57a7196d1170d57&thumb=Y,2023-09-11,기관,00:00.0,00:00.0,기타,37.515505,127.121175,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143229&menuNo=200009
403,기타,송파구,[송파공간 X 예술인 연대 프로젝트] 듀엣쏭 (9.22~11.17),2023-09-22~2023-11-17, 프로그램별 상이,송파문화재단,누구나,,,송파공간 X 예술인 연대 프로젝트 듀엣쏭  Do at Songpa,,https://blog.naver.com/songpaculture/223222141374,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2a1e740e9b6e48f0b58b771a19508479&thumb=Y,2023-09-27,기관,00:00.0,00:00.0,,37.50592943,127.1097315,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143518&menuNo=200013
404,전시/미술,종로구,"탑골미술관, 미국인 초상화가 아론 코스로우 초대전 [탑골공원의 소년들]",2023-09-22~2023-10-21,"탑골미술관, 서울 종로구 삼일대로 467",서울시청,누구나,무료,아론 코스로우 (Aaron Cossrow),오프닝 이벤트 (2023.09.25 월 11:00 ~ 12:00) / 노인의 날 특별 초상화 드로잉쇼 (2023.10.02 월 13:00)  / 상설 시니어 해설사,,https://seoulnoin.or.kr/senior/space2.asp,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=94bfe55289ec44e38a0cccd65fad7e0b&thumb=Y,2023-09-22,기관,00:00.0,00:00.0,어르신 문화행사,37.57596579,126.9858533,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143457&menuNo=200009
417,전시/미술,중구,서울로미디어캔버스 2023 3회 전시,2023-09-21~2023-12-19,서울로미디어캔버스 서울시 중구 만리재로 215,서울시청,시민 누구나,,,,,https://news.seoul.go.kr/culture/archives/520943,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6699811e7305476c885fa9e3abb3b792&thumb=Y,2023-09-15,기관,00:00.0,00:00.0,,37.55659104,126.9682176,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143349&menuNo=200009
418,전시/미술,송파구,"[한성백제박물관] 강鐵철 백제 - 철, 강한 나라를 만들다",2023-09-21~2023-12-17,한성백제박물관 기획전시실,한성백제박물관,전체관람가,,,,,https://baekjemuseum.seoul.go.kr/module/index.jsp?boardid=a&code=DP&mmode=content&mpid=SBM0203000000&pid=21625&strsearch=&d_s_que=&cpage=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=678661b4dd43404dbdc6e0097c4b9f3b&thumb=Y,2023-09-15,기관,00:00.0,00:00.0,,37.515505,127.121175,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143354&menuNo=200009
419,전시/미술,중구,제12회 서울미디어시티비엔날레 [이것 역시 지도],2023-09-21~2023-11-19,"서울시립미술관 서소문본관, 서울역사박물관, SeMA 벙커, 스페이스mm, 소공스페이스, 서울로미디어캔버스",서울시립미술관,누구나,,,,,https://sema.seoul.go.kr/kr/whatson/series/detail?exNo=1199259,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4f17f7ce8ac64ed58264f88e6f9e5e55&thumb=Y,2023-07-07,기관,00:00.0,00:00.0,기타,37.56410607,126.9736993,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142324&menuNo=200009
434,교육/체험,송파구,[몽촌토성투어프로그램] 한눈에 쏙~ 몽촌토성 첫걸음,2023-09-20~2023-12-15,몽촌역사관,몽촌역사관,학급 단체,,,,,http://baekjemuseum.seoul.go.kr/dreamvillage/board/notice/index.jsp?mpid=SDM0401000000&mmode=list ,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3618e8d596154e5a93e166323011cb54&thumb=Y,2023-08-04,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.5238852,127.1243709,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=142687&menuNo=200011
435,교육/체험,송파구,[한성백제박물관] 백제 왕도 달빛 기행,2023-09-20~2023-12-13,"서울공예박물관 기타장소, 전시3동, 전시2동",한성백제박물관,어린이?가족,,,,,https://craftmuseum.seoul.go.kr/progrm/view/204,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8905ed5f1b344c7baf9a737f0a299967&thumb=Y,2023-09-07,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.515505,127.121175,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143192&menuNo=200011
436,교육/체험,종로구,[2023 돈의문박물관마을] 가을산책(冊) 교육프로그램,2023-09-20~2023-12-09,돈의문박물관마을 내 서울도시건축센터 5층,돈의문박물관마을,중학생 이상,,,,,https://dmvillage.info/news/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=16192734&t=board,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bf3e2798d31d4732a2f75a36d08eb728&thumb=Y,2023-09-12,기관,00:00.0,00:00.0,,37.56882395,126.9685231,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143288&menuNo=200011
446,교육/체험,양천구,[서서울예술교육센터(양천)] 서울시민예술학교 2023 10-11월,2023-09-19~2023-11-22,"서울예술교육센터(용산), 서서울예술교육센터(양천) 2곳 및 기타 연계 기관 운영",서울문화재단,예술을 배워보고 싶은 서울시민 누구나(연령무관),선착순,,,,https://www.sfac.or.kr/participation/sfac_program.do?eduGubunSel=&pageIndex=2&eduMstSeq=33105&eduScheSeq=&mode=VIEW&mstStatus=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=001db7b1caeb453fa22f7389e2408432&thumb=Y,2023-09-19,기관,00:00.0,00:00.0,,37.52821978,126.8321453,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143389&menuNo=200011
455,교육/체험,은평구,[구립증산정보도서관] 그림책 속 마음 이끄미 샘들과 함께 하는 감정 북 큐레이션 [내 마음을 읽어요!],2023-09-18~2023-10-19,3층 어린이열람실,은평구청,누구나,,,,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=1794&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=260f54fd191d4306930cefc8a88f18b1&thumb=Y,2023-09-19,기관,00:00.0,00:00.0,어린이/청소년 문화행사,37.582727,126.9075589,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143400&menuNo=200011
462,클래식,노원구,[노원문화재단] 찾아가는 오케스트라,2023-09-17~2023-10-22,17(일) 꿈의숲SK뷰 단지 내 연못정원 / 10.3.(화) 중계주공 2단지 내 갓바위놀이터 / 22.(일) 센트럴푸르지오 단지 내 석가산공원,노원문화재단,누구나,,,,,https://www.nowonarts.kr/html/pe/performancedetail.php?param_url=https%3A%2F%2Fwww.nowonarts.kr%2Fhtml%2Fpe%2Fperformanceinfo.php%3F%26cate%3D%26skin%3D%26search_state%3D1%26search_syear%3D%26search_smonth%3D%26search_eyear%3D%26search_emonth%3D%26search_order%3D%26search_startPage%3D&idx=346,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d4fd49b39695445285d55c862dc59a37&thumb=Y,2023-09-20,기관,00:00.0,00:00.0,기타,37.66438374,127.074879,무료,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=143424&menuNo=200008
